Annex Type,Approved Estimates wage,Approved Estimates Non Wage,Approved Estimates GoU Dev,Approved Estimates GoU Total,Releases by End June Wage,Releases by End June Non Wage,Releases by End June Gou Dev,Releases by End June GoU Total,Expenditure by End June Wage,Expenditure by End June Non Wage,Expenditure by End June Gou Dev,Expenditure by End June GoU Total,Performance by End June Wage,Performance by End June Non Wage,Performance by End June Gou Dev,Performance by End June GoU Total
Annex A1.1,VF:0156 Breeding and Genetic Development,1.40,2.05,0.00,3.45,1.70,2.05,0.00,3.75,1.61,2.03,0.00,3.64,115.1%,99.1%,N/A
Annex A1.1,Vote: 142 National Agricultural Research Organisation,18.97,8.77,9.13,36.87,18.82,8.77,9.13,36.72,18.82,8.77,9.13,36.72,99.2%,100.0%,100.0%
Annex A1.1,VF:0151 Agricultural Research,18.97,8.77,9.13,36.87,18.82,8.77,9.13,36.72,18.82,8.77,9.13,36.72,99.2%,100.0%,100.0%
Annex A1.1,Vote: 152 NAADS Secretariat,2.18,4.09,153.66,159.93,2.46,3.57,153.44,159.47,2.46,3.45,149.78,155.69,112.4%,84.4%,97.5%
Annex A1.1,VF:0154 Agriculture Advisory Services,2.18,4.09,153.66,159.93,2.46,3.57,153.44,159.47,2.46,3.45,149.78,155.69,112.4%,84.4%,97.5%
Annex A1.1,Vote: 155 Uganda Cotton Development Organisation,0.00,1.39,2.20,3.59,0.00,12.14,1.07,13.20,0.00,11.38,1.07,12.45,N/A,818.8%,48.6%
Annex A1.1,VF:0152 Cotton Development,0.00,1.39,2.20,3.59,0.00,12.14,1.07,13.20,0.00,11.38,1.07,12.45,N/A,818.8%,48.6%
Annex A1.1,Vote: 160 Uganda Coffee Development Authority,0.00,7.91,0.00,7.91,0.00,7.46,0.00,7.46,0.00,7.45,0.00,7.45,N/A,94.2%,N/A
Annex A1.1,VF:0153 Coffee Development,0.00,7.91,0.00,7.91,0.00,7.46,0.00,7.46,0.00,7.45,0.00,7.45,N/A,94.2%,N/A
Annex A1.1,Vote: 501-850 Local Governments,25.33,14.25,22.96,62.54,24.93,14.25,22.96,62.14,21.94,14.25,22.96,59.14,86.6%,100.0%,100.0%
Annex A1.1,VF:0181 Agriculture Advisory Services,20.79,0.00,22.96,43.75,20.79,0.00,22.96,43.75,17.94,0.00,22.96,40.90,86.3%,N/A,100.0%
Annex A1.1,VF:0182 District Production Services,4.54,14.25,0.00,18.79,4.14,14.25,0.00,18.39,4.00,14.25,0.00,18.25,88.1%,100.0%,N/A
Annex A1.1,"Lands, Housing and Urban Development",3.97,7.74,18.72,30.43,3.80,10.57,38.03,52.40,3.67,6.32,38.07,48.06,92.4%,81.6%,203.4%
Annex A1.1,"Vote: 012 Ministry of Lands, Housing & Urban Developm",3.59,7.23,5.97,16.79,3.42,10.10,4.80,18.32,3.31,5.88,4.79,13.98,92.1%,81.4%,80.3%
Annex A1.1,"VF:0201 Land, Administration and Management (MLHUD)",2.03,2.37,4.49,8.88,2.03,2.01,3.63,7.67,1.96,2.00,3.62,7.59,96.7%,84.7%,80.8%
Annex A1.1,VF:0202 Physical Planning and Urban Development,0.50,1.39,1.11,2.99,0.36,1.08,0.85,2.29,0.36,1.08,0.85,2.29,72.8%,77.6%,76.3%
Annex A1.1,VF:0203 Housing,0.46,1.56,0.37,2.39,0.45,5.20,0.33,5.98,0.44,1.20,0.32,1.96,95.7%,76.9%,85.4%
Annex A1.1,"VF:0249 Policy, Planning and Support Services",0.60,1.92,0.00,2.52,0.58,1.81,0.00,2.39,0.54,1.61,0.00,2.15,89.9%,83.8%,N/A
Annex A1.1,Vote: 156 Uganda Land Commission,0.38,0.51,12.75,13.64,0.38,0.47,33.23,34.08,0.36,0.43,33.28,34.08,94.8%,84.7%,261.0%
Annex A1.1,VF:0251 Government Land Administration,0.38,0.51,12.75,13.64,0.38,0.47,33.23,34.08,0.36,0.43,33.28,34.08,94.8%,84.7%,261.0%
Annex A1.1,Energy and Mineral Development,4.06,"4.24 1,308.08 1,316.39",3.21,3.50,679.52,686.23,3.17,3.43,678.25,684.84,78.0%,80.7%,51.9%,52.1%,52.0%
Annex A1.1,Vote: 017 Ministry of Energy and Mineral Development,4.06,"4.24 1,291.10 1,299.41",3.21,3.50,642.55,649.26,3.17,3.43,639.61,646.20,78.0%,80.7%,49.5%,50.0%,49.7%
Annex A1.1,"VF:0301 Energy Planning,Management & Infrastructure Dev't",0.46,0.63,101.77,102.87,0.31,0.47,96.58,97.37,0.31,0.47,96.31,97.09,67.5%,73.5%,94.6%
Annex A1.1,VF:0302 Large Hydro power infrastructure,0.00,"0.00 1,096.90 1,096.90",0.00,0.00,461.09,461.09,0.00,0.00,459.94,459.94,N/A,N/A,41.9%,42.0%,41.9%
Annex A1.1,"VF:0303 Petroleum Exploration, Development & Production",0.92,0.93,53.16,55.01,0.72,0.77,50.36,51.86,0.71,0.77,49.25,50.73,77.8%,82.7%,92.6%
Annex A1.1,"VF:0304 Petroleum Supply, Infrastructure and Regulation",0.66,0.90,12.50,14.06,0.53,0.77,7.79,9.10,0.53,0.74,7.79,9.05,80.1%,82.6%,62.3%
Annex A1.1,"VF:0305 Mineral Exploration, Development & Production",1.22,0.57,6.90,8.68,1.03,0.42,6.84,8.30,1.00,0.41,6.69,8.11,82.1%,72.8%,97.0%
Annex A1.1,"VF:0349 Policy, Planning and Support Services",0.80,1.22,19.88,21.89,0.61,1.05,19.88,21.54,0.61,1.04,19.63,21.28,76.4%,85.3%,98.8%
Annex A1.1,Vote: 123 Rural Electrification Agency (REA),0.00,0.00,16.98,16.98,0.00,0.00,36.98,36.98,0.00,0.00,38.64,38.64,N/A,N/A,227.6%
Annex A1.1,VF:0351 Rural Electrification,0.00,0.00,16.98,16.98,0.00,0.00,36.98,36.98,0.00,0.00,38.64,38.64,N/A,N/A,227.6%
Annex A1.1,Works and Transport,29.29,"468.40 1,388.36 1,886.05",29.04," 464.60 1,377.35 1,870.99",29.01," 457.84 1,364.18 1,851.03",99.0%,97.7%,98.3%,99.2%,98.1%,98.9%,,,
Annex A1.1,Vote: 016 Ministry of Works and Transport,8.87,24.06,66.19,99.12,8.72,20.02,65.07,93.80,8.71,19.90,64.92,93.54,98.3%,82.7%,98.1%
Annex A1.1,VF:0401 Transport Regulation,0.84,2.14,3.28,6.26,0.84,1.86,2.33,5.03,0.84,1.85,2.32,5.01,100.0%,86.3%,70.9%
Annex A1.1,VF:0402 Transport Services and Infrastructure,0.35,4.27,26.38,30.99,0.35,2.93,24.86,28.14,0.35,2.93,24.85,28.13,100.0%,68.7%,94.2%
Annex A1.1,VF:0403 Construction Standards and Quality Assurance,4.11,5.76,6.50,16.37,3.96,4.78,6.95,15.69,3.96,4.71,6.94,15.62,96.4%,81.8%,106.8%
Annex A1.1,"VF:0404 District, Urban and Community Access Roads",0.00,0.00,17.44,17.44,0.00,0.00,16.29,16.29,0.00,0.00,16.24,16.24,N/A,N/A,93.1%
Annex A1.1,VF:0405 Mechanical Engineering Services,2.42,7.25,8.10,17.77,2.42,6.35,7.52,16.29,2.42,6.35,7.51,16.28,99.9%,87.6%,92.7%
Annex A1.1,"VF:0449 Policy,Planning and Support Services",1.15,4.64,4.50,10.29,1.15,4.09,7.12,12.37,1.15,4.06,7.06,12.27,99.7%,87.5%,156.8%
Annex A1.1,Vote: 113 Uganda National Roads Authority,18.43," 18.23 1,233.20 1,269.86",18.33,"18.48 1,229.03 1,265.84",18.32,"16.54 1,216.03 1,250.89",99.4%,90.7%,98.6%,99.7%,98.5%,98.8%,,,
Annex A1.1,VF:0451 National Roads Maintenance & Construction,18.43," 18.23 1,233.20 1,269.86",18.33,"18.48 1,229.03 1,265.84",18.32,"16.54 1,216.03 1,250.89",99.4%,90.7%,98.6%,99.7%,98.5%,98.8%,,,
Annex A1.1,Vote: 118 Road Fund,1.99,426.11,0.00,428.10,1.99,426.11,0.00,428.09,1.98,421.40,0.00,423.38,99.4%,98.9%,N/A
Annex A1.1,VF:0452 National and District Road Maintenance,1.99,426.11,0.00,428.10,1.99,426.11,0.00,428.09,1.98,421.40,0.00,423.38,99.4%,98.9%,N/A
Annex A1.1,Vote: 122 Kampala Capital City Authority,0.00,0.00,62.90,62.90,0.00,0.00,57.19,57.19,0.00,0.00,57.16,57.16,N/A,N/A,90.9%
Annex A1.1,VF:0406 Urban Road Network Development,0.00,0.00,62.90,62.90,0.00,0.00,57.19,57.19,0.00,0.00,57.16,57.16,N/A,N/A,90.9%
Annex A1.1,Vote: 501-850 Local Governments,0.00,0.00,26.07,26.07,0.00,0.00,26.07,26.07,0.00,0.00,26.07,26.07,N/A,N/A,100.0%
Annex A1.1,"VF:0481 District, Urban and Community Access Roads",0.00,0.00,26.07,26.07,0.00,0.00,26.07,26.07,0.00,0.00,26.07,26.07,N/A,N/A,100.0%
Annex A1.1,Information and Communications Technolog,6.41,7.80,2.80,17.01,6.41,7.44,2.33,16.18,6.33,7.38,2.21,15.93,98.8%,94.7%,79.0%
Annex A1.1,Vote: 020 Ministry of Information & Communications Tec,0.94,4.29,0.97,6.21,0.94,4.22,0.82,5.98,0.87,4.20,0.81,5.88,92.2%,97.8%,83.6%
Annex A1.1,VF:0501 IT and Information Management Services,0.25,0.62,0.00,0.87,0.25,0.58,0.00,0.82,0.20,0.57,0.00,0.77,79.9%,91.9%,N/A
Annex A1.1,VF:0502 Communications and Broadcasting Infrastructure,0.26,0.65,0.00,0.90,0.26,0.60,0.00,0.85,0.23,0.59,0.00,0.82,90.6%,90.8%,N/A
Annex A1.1,"VF:0549 Policy, Planning and Support Services",0.44,3.03,0.97,4.44,0.44,3.04,0.82,4.30,0.44,3.04,0.81,4.29,100.0%,100.5%,83.6%
Annex A1.1,Vote: 126 National Information Technology Authority,5.46,3.51,1.83,10.80,5.46,3.23,1.51,10.21,5.46,3.19,1.40,10.06,100.0%,90.9%,76.6%
Annex A1.1,VF:0551 Development of Secure National Information Technolo,0.00,0.00,1.83,1.83,0.00,0.00,1.51,1.51,0.00,0.00,1.40,1.40,N/A,N/A,76.6%
Annex A1.1,VF:0553 Strengthening and aligning NITA-U to deliver its mand,5.46,3.51,0.00,8.97,5.46,3.23,0.00,8.69,5.46,3.19,0.00,8.65,100.0%,90.9%,N/A
Annex A1.1,"Tourism, Trade and Industry",14.82,24.34,21.46,60.62,15.81,33.88,20.85,70.54,13.52,31.01,20.57,65.10,91.3%,127.4%,95.8%
Annex A1.1,"Vote: 015 Ministry of Trade, Industry and Cooperatives",2.16,6.92,6.53,15.61,1.72,14.05,5.42,21.19,1.40,14.04,5.42,20.86,64.6%,202.8%,83.0%
Annex A1.1,VF:0601 Industrial and Technological Development,0.79,1.51,4.97,7.27,0.62,1.51,4.03,6.16,0.50,1.51,4.03,6.04,63.9%,100.0%,81.1%
Annex A1.1,VF:0602 Cooperative Development,0.21,0.51,0.68,1.40,0.17,5.11,0.66,5.94,0.13,5.11,0.66,5.90,61.8%,997.8%,96.9%
Annex A1.1,VF:0604 Trade Development,0.47,2.53,0.37,3.37,0.38,2.83,0.22,3.43,0.29,2.82,0.22,3.34,61.6%,111.6%,60.3%
Annex A1.1,"VF:0649 Policy, Planning and Support Services",0.69,2.37,0.52,3.57,0.55,4.60,0.52,5.66,0.47,4.60,0.52,5.58,68.5%,193.7%,99.9%
Annex A1.1,"Vote: 022 Ministry of Tourism, Wildlife and Antiquities",1.33,7.73,2.77,11.84,1.33,7.75,2.77,11.85,1.32,7.75,2.70,11.77,99.4%,100.2%,97.5%
Annex A1.1,"VF:0603 Tourism, Wildlife conservation and Museums",1.00,3.11,1.95,6.06,1.00,3.11,1.95,6.06,0.99,3.10,1.88,5.98,99.3%,99.9%,96.4%
Annex A1.1,"VF:0649 Policy, Planning and Support Services",0.33,4.63,0.82,5.78,0.33,4.65,0.82,5.80,0.33,4.64,0.82,5.79,99.8%,100.4%,100.0%
Annex A1.1,Vote: 110 Uganda Industrial Research Institute,4.40,1.52,8.32,14.24,4.40,1.51,8.32,14.23,4.33,1.50,8.33,14.16,98.4%,99.0%,100.1%
Annex A1.1,VF:0651 Industrial Research,4.40,1.52,8.32,14.24,4.40,1.51,8.32,14.23,4.33,1.50,8.33,14.16,98.4%,99.0%,100.1%
Annex A1.1,Vote: 117 Uganda Tourism Board,1.16,4.69,0.55,6.40,0.97,4.69,0.55,6.21,0.97,4.57,0.55,6.10,83.3%,97.6%,100.0%
Annex A1.1,VF:0653 Tourism Services,1.16,4.69,0.55,6.40,0.97,4.69,0.55,6.21,0.97,4.57,0.55,6.10,83.3%,97.6%,100.0%
Annex A1.1,Vote: 154 Uganda National Bureau of Standards,5.76,3.48,3.28,12.53,7.39,5.88,3.78,17.06,5.50,3.15,3.56,12.21,95.5%,90.4%,108.5%
Annex A1.1,VF:0652 Quality Assurance and Standards Development,5.76,3.48,3.28,12.53,7.39,5.88,3.78,17.06,5.50,3.15,3.56,12.21,95.5%,90.4%,108.5%
Annex A1.1,Education,"1,211.45",431.51,"151.83 1,794.79","1,158.73",440.96," 146.28 1,745.97"," 1,121.71",439.66," 147.58 1,708.96",92.6%,101.9%,97.2%,97.3%,95.2%,97.9%
Annex A1.1,Vote: 013 Ministry of Education and Sports,10.01,127.39,53.11,190.52,11.27,136.39,48.03,195.70,11.01,135.08,49.78,195.87,110.0%,106.0%,93.7%
Annex A1.1,VF:0701 Pre-Primary and Primary Education,0.21,30.59,3.06,33.86,0.21,29.53,4.99,34.73,0.21,29.52,4.84,34.57,99.8%,96.5%,158.0%
Annex A1.1,VF:0702 Secondary Education,0.24,16.05,13.85,30.14,0.24,25.59,13.65,39.47,0.23,25.57,13.61,39.41,98.3%,159.4%,98.2%
Annex A1.1,"VF:0703 Special Needs Education, Guidance and Counselling",0.19,1.87,2.06,4.12,0.19,1.70,1.83,3.71,0.18,1.70,1.82,3.69,96.2%,90.4%,88.1%
Annex A1.1,VF:0704 Higher Education,0.15,20.80,10.48,31.42,0.15,19.41,939,102.2%,,,,,,,
,,,,,,,,,,,,,,,,
Annex A1.1,VF:0705 Skills Development,2.91,27.21,13.30,43.41,2.91,30.32,12.58,45.81,2.90,30.22,13.01,46.13,99.9%,111.1%,97.8%
Annex A1.1,VF:0706 Quality and Standards,4.09,16.37,6.37,26.83,4.09,15.40,5.42,24.92,4.09,15.30,5.41,24.80,99.9%,93.5%,84.9%
Annex A1.1,VF:0707 Physical Education and Sports,0.08,3.12,3.78,6.97,0.08,3.38,3.75,7.21,0.07,3.38,3.75,7.20,96.1%,108.5%,99.2%
Annex A1.1,"VF:0749 Policy, Planning and Support Services",2.15,11.40,0.20,13.75,3.42,11.06,0.15,14.63,3.18,10.94,0.15,14.27,147.8%,96.0%,75.5%
Annex A1.1,Vote: 111 Busitema University,8.90,6.99,1.08,16.96,9.10,6.99,1.08,17.16,8.98,7.00,1.08,17.05,100.9%,100.1%,100.0%
Annex A1.1,VF:0751 Delivery of Tertiary Education and Research,8.90,6.99,1.08,16.96,9.10,6.99,1.08,17.16,8.98,7.00,1.08,17.05,100.9%,100.1%,100.0%
Annex A1.1,Vote: 122 Kampala Capital City Authority,24.82,7.41,2.14,34.37,24.82,7.34,1.50,33.66,24.82,7.34,1.49,33.64,100.0%,99.0%,69.5%
Annex A1.1,VF:0708 Education and Social Services,24.82,7.41,2.14,34.37,24.82,7.34,1.50,33.66,24.82,7.34,1.49,33.64,100.0%,99.0%,69.5%
Annex A1.1,Vote: 127 Muni University,1.65,2.55,2.30,6.50,3.10,2.55,2.30,7.95,2.53,2.55,2.30,7.38,153.1%,100.0%,100.0%
Annex A1.1,VF:0751 Delivery of Tertiary Education and Research,1.65,2.55,2.30,6.50,3.10,2.55,2.30,7.95,2.53,2.55,2.30,7.38,153.1%,100.0%,100.0%
Annex A1.1,Vote: 132 Education Service Commission,1.07,4.04,0.65,5.76,1.07,4.29,0.65,6.02,1.07,4.29,0.22,5.58,99.8%,106.3%,34.4%
Annex A1.1,VF:0752 Education Personnel Policy and Management,1.07,4.04,0.65,5.76,1.07,4.29,0.65,6.02,1.07,4.29,0.22,5.58,99.8%,106.3%,34.4%
Annex A1.1,Vote: 136 Makerere University,49.34,16.49,20.16,85.99,49.34,19.14,20.16,88.64,49.34,19.14,20.16,88.64,100.0%,116.1%,100.0%
Annex A1.1,VF:0751 Delivery of Tertiary Education,49.34,16.49,20.16,85.99,49.34,19.14,20.16,88.64,49.34,19.14,20.16,88.64,100.0%,116.1%,100.0%
Annex A1.1,Vote: 137 Mbarara University,13.56,2.89,3.80,20.24,13.56,2.89,3.80,20.24,13.56,2.89,3.80,20.24,100.0%,100.0%,100.0%
Annex A1.1,VF:0751 Delivery of Tertiary Education,13.56,2.89,3.80,20.24,13.56,2.89,3.80,20.24,13.56,2.89,3.80,20.24,100.0%,100.0%,100.0%
Annex A1.1,Vote: 138 Makerere University Business School,3.76,2.36,2.80,8.92,3.76,2.36,2.80,8.92,2.84,2.36,2.80,8.00,75.5%,100.1%,100.0%
Annex A1.1,VF:0751 Delivery of Tertiary Education,3.76,2.36,2.80,8.92,3.76,2.36,2.80,8.92,2.84,2.36,2.80,8.00,75.5%,100.1%,100.0%
Annex A1.1,Vote: 139 Kyambogo University,16.54,6.66,0.22,23.42,15.57,6.66,0.22,22.45,15.57,6.66,0.22,22.45,94.1%,100.0%,100.0%
Annex A1.1,VF:0751 Delivery of Tertiary Education,16.54,6.66,0.22,23.42,15.57,6.66,0.22,22.45,15.57,6.66,0.22,22.45,94.1%,100.0%,100.0%
Annex A1.1,Vote: 140 Uganda Management Institute,0.35,0.20,1.50,2.05,0.35,0.20,1.50,2.05,0.35,0.20,1.50,2.05,100.0%,100.0%,100.0%
Annex A1.1,VF:0751 Delivery of Tertiary Education,0.35,0.20,1.50,2.05,0.35,0.20,1.50,2.05,0.35,0.20,1.50,2.05,100.0%,100.0%,100.0%
Annex A1.1,Vote: 149 Gulu University,9.55,4.68,1.00,15.23,9.55,4.68,1.00,15.23,9.55,4.68,1.00,15.24,100.0%,100.0%,100.0%
Annex A1.1,VF:0751 Delivery of Tertiary Education and Research,9.55,4.68,1.00,15.23,9.55,4.68,1.00,15.23,9.55,4.68,1.00,15.24,100.0%,100.0%,100.0%
Annex A1.1,Vote: 501-850 Local Governments,"1,071.91",249.85,"63.06 1,384.82","1,017.24",247.47," 63.23 1,327.94",982.11,247.47," 63.23 1,292.82",91.6%,99.0%,100.3%,95.9%,93.4%,97.4%
Annex A1.1,VF:0781 Pre-Primary and Primary Education,825.74,66.25,54.20,946.18,792.49,63.18,0.00,855.67,765.41,63.18,0.00,828.58,92.7%,95.4%,0.0%
Annex A1.1,VF:0782 Secondary Education,203.55,140.80,8.86,353.20,185.88,140.69,8.86,335.43,179.22,140.69,8.86,328.77,88.1%,99.9%,100.0%
Annex A1.1,VF:0783 Skills Development,42.63,38.12,0.00,80.75,38.87,38.92,54.37,132.16,37.48,38.92,54.37,130.77,87.9%,102.1%,N/A
Annex A1.1,VF:0784 Education Inspection and Monitoring,0.00,4.69,0.00,4.69,0.00,4.69,0.00,4.69,0.00,4.69,0.00,4.69,N/A,100.0%,N/A
Annex A1.1,Health,332.71,335.95,81.31,749.97,307.74,342.37,80.43,730.54,295.49,340.35,79.78,715.62,88.8%,101.3%,98.1%
Annex A1.1,Vote: 014 Ministry of Health,6.49,29.67,12.98,49.13,7.12,29.49,10.87,47.48,6.97,29.30,10.58,46.85,107.3%,98.8%,81.5%
Annex A1.1,VF:0801 Sector Monitoring and Quality Assurance,0.10,0.70,0.00,0.81,0.10,0.49,0.00,0.59,0.10,0.49,0.00,0.59,99.3%,69.2%,N/A
Annex A1.1,VF:0802 Health systems development,0.00,0.00,4.46,4.46,0.00,0.00,3.41,3.41,0.00,0.00,3.15,3.15,N/A,N/A,70.7%
Annex A1.1,VF:0803 Health Research,0.95,1.46,0.00,2.41,0.95,1.17,0.00,2.12,0.92,1.17,0.00,2.08,96.4%,79.8%,N/A
Annex A1.1,VF:0804 Clinical and public health,3.40,17.51,0.30,21.21,3.40,19.75,0.19,23.34,3.36,19.76,0.19,23.31,98.8%,112.9%,62.5%
Annex A1.1,VF:0805 Pharmaceutical and other Supplies,0.00,0.00,8.21,8.21,0.00,0.00,7.28,7.28,0.00,0.00,7.24,7.24,N/A,N/A,88.1%
Annex A1.1,"VF:0849 Policy, Planning and Support Services",2.04,9.99,0.00,12.03,2.67,8.09,0.00,10.76,2.59,7.89,0.00,10.48,127.0%,78.9%,N/A
Annex A1.1,Vote: 107 Uganda AIDS Commission,1.38,5.44,0.13,6.95,1.29,5.44,0.13,6.86,1.27,5.30,0.12,6.69,91.8%,97.5%,92.4%
Annex A1.1,VF:0851 Coordination of multi-sector response to HIV/AIDS,1.38,5.44,0.13,6.95,1.29,5.44,0.13,6.86,1.27,5.30,0.12,6.69,91.8%,97.5%,92.4%
Annex A1.1,Vote: 114 Uganda Cancer Institute,2.20,1.10,7.10,10.40,1.79,1.15,8.71,11.65,1.72,1.15,8.26,11.12,78.1%,104.4%,116.3%
Annex A1.1,VF:0857 Cancer Services,2.20,1.10,7.10,10.40,1.79,1.15,8.71,11.65,1.72,1.15,8.26,11.12,78.1%,104.4%,116.3%
Annex A1.1,Vote: 115 Uganda Heart Institute,2.14,1.45,5.50,9.08,1.58,1.45,5.50,8.53,1.19,1.41,6.00,8.60,55.7%,97.4%,109.1%
Annex A1.1,VF:0858 Heart Services,2.14,1.45,5.50,9.08,1.58,1.45,5.50,8.53,1.19,1.41,6.00,8.60,55.7%,97.4%,109.1%
Annex A1.1,Vote: 116 National Medical Stores,0.00,218.61,0.00,218.61,0.00,218.00,0.00,218.00,0.00,217.70,0.00,217.70,N/A,99.6%,N/A
Annex A1.1,VF:0859 Pharmaceutical and Medical Supplies,0.00,218.61,0.00,218.61,0.00,218.00,,,,,,,,,
Annex A1.1,0.00218.00,0.00,217.70,0.00,217.70,N/A,99.6%,N/A,99.7%,99.6%,99.9%,,,,,
Annex A1.1,Vote: 122 Kampala Capital City Authority,3.55,1.32,1.46,6.33,3.55,1.09,1.08,5.72,3.54,1.08,1.08,5.71,99.9%,81.5%,74.0%
Annex A1.1,VF:0807 Community Health Management,3.55,1.32,1.46,6.33,3.55,1.09,1.08,5.72,3.54,1.08,1.08,5.71,99.9%,81.5%,74.0%
Annex A1.1,Vote: 134 Health Service Commission,0.95,2.77,0.35,4.07,0.98,2.89,0.35,4.22,0.98,2.88,0.34,4.21,103.3%,104.1%,98.6%
Annex A1.1,VF:0852 Human Resource Management for Health,0.95,2.77,0.35,4.07,0.98,2.89,0.35,4.22,0.98,2.88,0.34,4.21,103.3%,104.1%,98.6%
Annex A1.1,Vote: 151 Uganda Blood Transfusion Service (UBTS),1.88,4.10,0.37,6.36,2.11,4.10,0.37,6.59,2.09,4.10,0.37,6.57,111.1%,100.0%,100.0%
Annex A1.1,VF:0853 Safe Blood Provision,1.88,4.10,0.37,6.36,2.11,4.10,0.37,6.59,2.09,4.10,0.37,6.57,111.1%,100.0%,100.0%
Annex A1.1,Vote: 161 Mulago Hospital Complex,19.88,13.23,5.02,38.13,20.46,14.25,5.02,39.73,20.31,14.02,5.02,39.35,102.1%,106.0%,100.0%
Annex A1.1,VF:0854 National Referral Hospital Services,19.88,13.23,5.02,38.13,20.46,14.25,5.02,39.73,20.31,14.02,5.02,39.35,102.1%,106.0%,100.0%
Annex A1.1,Vote: 162 Butabika Hospital,3.70,3.60,1.81,9.11,2.88,3.84,1.81,8.53,2.88,3.84,1.81,8.53,77.8%,106.7%,100.0%
Annex A1.1,VF:0855 Provision of Specialised Mental Health Services,3.70,3.60,1.81,9.11,2.88,3.84,1.81,8.53,2.88,3.84,1.81,8.53,77.8%,106.7%,100.0%
Annex A1.1,Vote: Arua Referral Hospital,2.97,1.38,1.00,5.36,2.97,2.02,1.00,5.99,2.95,1.76,1.00,5.71,99.0%,127.5%,100.0%
Annex A1.1,VF:0856 Regional Referral Hospital Services,2.97,1.38,1.00,5.36,2.97,2.02,1.00,5.99,2.95,1.76,1.00,5.71,99.0%,127.5%,100.0%
Annex A1.1,Vote: 164 Fort Portal Referral Hospital,3.43,1.31,0.70,5.44,3.09,1.59,0.70,5.38,3.00,1.52,0.70,5.21,87.4%,116.2%,100.0%
Annex A1.1,VF:0856 Regional Referral Hospital Services,3.43,1.31,0.70,5.44,3.09,1.59,0.70,5.38,3.00,1.52,0.70,5.21,87.4%,116.2%,100.0%
Annex A1.1,Vote: 165 Gulu Referral Hospital,2.84,1.08,1.00,4.93,2.57,1.20,1.00,4.77,0.00,1.15,1.00,2.15,0.0%,106.1%,100.0%
Annex A1.1,VF:0856 Regional Referral Hospital Services,2.84,1.08,1.00,4.93,2.57,1.20,1.00,4.77,0.00,1.15,1.00,2.15,0.0%,106.1%,100.0%
Annex A1.1,Vote: 166 Hoima Referral Hospital,2.46,0.96,1.20,4.62,2.28,2.18,1.20,5.66,2.17,2.04,1.20,5.41,88.5%,211.6%,100.0%
Annex A1.1,VF:0856 Regional Referral Hospital Services,2.46,0.96,1.20,4.62,2.28,2.18,1.20,5.66,2.17,2.04,1.20,5.41,88.5%,211.6%,100.0%
Annex A1.1,Vote: 167 Jinja Referral Hospital,3.62,0.96,1.00,5.57,3.75,1.61,1.00,6.35,3.61,1.39,1.00,6.00,99.9%,145.0%,100.0%
Annex A1.1,VF:0856 Regional Referral Hospital Services,3.62,0.96,1.00,5.57,3.75,1.61,1.00,6.35,3.61,1.39,1.00,6.00,99.9%,145.0%,100.0%
Annex A1.1,Vote: 168 Kabale Referral Hospital,2.39,1.29,0.70,4.38,2.20,1.33,0.70,4.22,2.11,1.31,0.70,4.13,88.7%,101.4%,100.0%
